-103.94,-108.11,-107.51,-110.70,-111.22,-111.64,-111.96,-113.60,-115.04,-116.75,-115.98,-115.98,-115.39,-114.90,-118.61,-117.91,-119.17,-117.38,-119.66,-116.23,-118.19,-120.64,-120.04,-117.70,-118.47,-117.21,-119.73,-121.83,-123.19,-123.54,-125.08,-123.82,-124.17,-129.74,-125.92,-128.44,-125.57,-121.90,-125.99,-127.57,-123.33,-128.93,-128.51,-131.03,-129.25,-127.22,-128.41,-132.57,-129.70,-129.49,-132.26,-131.10,-134.88,-130.93,-132.01,-133.03,-133.34,-135.83,-134.04,-138.56,-131.87,-135.13,-135.09,-135.48,-137.02,-135.51,-134.85,-138.49,-137.93,-140.03,-136.11,-135.27,-136.42,-139.29,-142.51,-142.93,-139.43,-143.07,-143.49,-141.67,-145.35,-142.37,-142.34,-141.67,-140.62,-141.18,-140.69,-144.30,-139.40,-139.36,-143.95,-141.15,-139.96,-137.58,-142.69,-143.77,-144.93,-143.32,-142.27,-141.53,-145.66,-145.07,-142.51,-140.48,-143.53,-144.19,-144.93,-142.90,-144.86,-149.23,-146.19,-146.33,-147.06,-144.54,-144.05,-146.22,-149.76,-147.80,-146.57,-146.96,-145.59,-148.36,-145.87,-146.22,-146.08,-148.39,-145.14,-150.11,-147.66,-146.05,-146.54,-141.29,-138.17,-134.36,-136.70,-133.66,-133.45,-136.21,-132.78,-137.05,-135.72,-132.19,-135.37,-135.27,-132.64,-128.41,-129.07,-123.05,-118.01,-123.47,-117.31,-114.90,-116.75,-117.80,-117.31,-117.00,-117.98,-119.59,-117.31,-117.21
-101.14,-105.76,-103.73,-107.48,-109.26,-110.17,-114.02,-112.45,-111.64,-119.94,-111.40,-118.92,-115.60,-117.52,-118.57,-119.90,-119.90,-118.47,-122.21,-122.00,-120.39,-124.59,-125.71,-122.46,-124.73,-119.13,-124.00,-122.04,-124.87,-125.05,-124.00,-125.68,-126.90,-130.61,-126.73,-130.37,-126.90,-127.95,-125.57,-129.63,-131.14,-132.33,-125.50,-130.40,-134.60,-130.44,-129.84,-133.73,-131.59,-132.99,-132.12,-133.90,-134.01,-133.94,-133.41,-131.24,-133.97,-137.05,-132.68,-135.79,-137.16,-137.37,-135.34,-140.27,-137.89,-136.98,-136.07,-141.74,-136.00,-135.37,-140.34,-139.12,-140.10,-140.80,-141.99,-140.55,-140.52,-140.10,-141.01,-142.23,-141.60,-142.62,-143.63,-143.53,-139.64,-140.80,-141.95,-146.08,-142.16,-140.27,-141.81,-143.11,-142.83,-141.88,-142.06,-147.10,-144.30,-143.98,-143.04,-145.24,-144.16,-141.46,-144.58,-146.15,-148.32,-143.88,-148.57,-147.97,-146.92,-148.18,-144.58,-147.34,-145.10,-146.96,-144.82,-150.91,-150.81,-150.98,-148.22,-149.65,-145.84,-151.54,-146.43,-149.62,-154.55,-150.14,-151.89,-153.15,-148.36,-148.25,-148.95,-145.14,-142.20,-137.12,-136.95,-138.87,-135.58,-138.00,-135.90,-138.98,-138.35,-136.14,-133.38,-136.11,-129.98,-128.86,-128.41,-123.79,-124.80,-120.92,-118.92,-118.29,-122.74,-118.85,-118.64,-117.28,-120.01,-118.64,-115.56,-118.64
-97.78,-99.74,-104.92,-101.53,-105.06,-107.16,-106.71,-112.31,-111.08,-111.96,-111.78,-114.93,-112.41,-114.79,-115.56,-118.50,-114.79,-118.54,-118.64,-117.14,-118.15,-119.94,-123.37,-123.05,-122.00,-121.34,-119.66,-120.25,-124.35,-125.22,-124.10,-122.63,-124.63,-126.73,-127.81,-125.61,-127.50,-124.91,-127.15,-129.28,-128.48,-128.72,-126.66,-130.30,-134.04,-128.69,-127.99,-133.06,-131.63,-132.92,-133.90,-132.05,-133.80,-130.68,-132.12,-133.94,-133.87,-136.00,-136.42,-132.71,-138.14,-131.73,-136.18,-135.76,-137.89,-136.14,-135.86,-140.80,-139.64,-136.98,-138.42,-135.48,-140.10,-140.90,-142.90,-140.24,-141.71,-138.59,-141.43,-139.29,-143.53,-139.71,-143.32,-140.52,-139.50,-137.51,-138.31,-140.10,-137.19,-138.84,-138.00,-137.79,-134.88,-139.05,-142.09,-140.13,-142.41,-142.97,-141.15,-141.74,-146.19,-145.45,-141.81,-143.77,-145.70,-143.39,-148.39,-144.44,-147.24,-146.19,-144.89,-145.52,-147.66,-148.43,-150.32,-147.69,-150.00,-149.90,-147.03,-147.27,-146.71,-148.99,-145.73,-153.75,-149.34,-149.97,-150.63,-151.75,-149.93,-151.93,-151.37,-149.72,-147.66,-143.00,-138.87,-141.92,-134.50,-139.26,-133.83,-137.16,-138.77,-134.04,-135.83,-133.45,-133.87,-127.50,-124.91,-122.63,-121.79,-121.37,-120.04,-119.94,-120.92,-120.39,-118.26,-119.10,-116.58,-118.29,-118.22,-115.18
-99.99,-103.28,-103.38,-103.45,-107.37,-108.67,-107.90,-110.21,-111.01,-113.99,-110.84,-112.41,-114.62,-115.53,-118.75,-117.63,-120.39,-117.77,-119.94,-118.33,-119.03,-121.37,-123.54,-122.70,-119.06,-119.69,-117.45,-120.29,-124.73,-123.02,-122.11,-121.44,-122.56,-123.44,-124.45,-124.77,-127.43,-124.07,-125.92,-127.29,-125.26,-129.70,-127.50,-131.77,-129.84,-129.39,-126.62,-131.17,-127.88,-130.12,-129.14,-127.39,-128.83,-131.10,-131.98,-131.94,-130.68,-130.68,-134.64,-133.03,-131.84,-133.66,-132.57,-131.94,-131.10,-133.06,-130.79,-133.45,-133.24,-132.96,-131.87,-133.73,-134.57,-138.98,-138.63,-138.84,-134.32,-134.22,-135.44,-136.39,-134.78,-134.39,-135.76,-135.16,-129.63,-132.36,-133.03,-132.47,-131.24,-130.96,-130.79,-131.31,-131.10,-136.63,-133.97,-134.92,-136.77,-143.67,-140.94,-140.69,-144.02,-142.76,-140.52,-138.28,-142.30,-134.67,-140.03,-141.15,-143.53,-141.74,-139.57,-144.65,-143.84,-145.80,-142.90,-140.66,-145.42,-145.49,-141.81,-145.35,-146.26,-143.91,-145.45,-144.05,-147.94,-148.92,-146.82,-152.00,-148.99,-145.07,-149.93,-148.99,-144.96,-140.20,-138.80,-140.76,-136.53,-135.23,-136.74,-136.04,-130.51,-129.63,-134.74,-133.66,-126.13,-126.10,-121.83,-121.34,-117.59,-116.16,-118.78,-113.74,-117.31,-118.29,-117.45,-114.48,-115.53,-113.22,-113.57,-111.01
-100.83,-100.72,-105.41,-107.09,-107.09,-109.05,-111.50,-111.89,-110.17,-115.42,-111.96,-114.02,-113.53,-115.49,-121.55,-118.36,-116.23,-114.86,-116.30,-117.07,-117.77,-120.18,-123.23,-121.69,-119.94,-122.28,-120.46,-122.07,-122.00,-121.55,-120.46,-120.43,-123.54,-122.95,-122.81,-123.96,-124.24,-120.67,-121.41,-124.28,-124.28,-126.24,-123.93,-128.44,-128.79,-124.49,-123.93,-132.96,-128.55,-128.65,-128.37,-132.05,-130.37,-129.77,-128.27,-130.16,-129.53,-131.66,-133.10,-133.80,-129.11,-129.00,-132.68,-133.87,-128.48,-131.91,-133.66,-133.83,-130.79,-133.27,-131.07,-133.97,-134.78,-136.28,-130.37,-133.34,-129.49,-134.29,-128.41,-125.96,-127.29,-125.82,-125.99,-124.91,-122.63,-121.90,-121.97,-118.96,-121.62,-120.29,-122.74,-121.34,-122.60,-124.14,-124.31,-128.41,-134.04,-136.25,-137.44,-138.14,-140.10,-144.33,-139.92,-137.68,-143.28,-137.23,-143.21,-141.25,-140.24,-139.08,-139.26,-144.26,-143.42,-144.51,-138.80,-142.41,-142.30,-144.09,-144.79,-138.03,-142.02,-146.33,-146.89,-145.28,-147.17,-145.98,-143.04,-148.25,-145.24,-151.02,-148.22,-144.82,-145.80,-144.30,-142.69,-136.88,-136.88,-137.65,-132.54,-134.01,-129.77,-131.03,-132.68,-128.76,-126.20,-126.17,-121.09,-118.29,-119.45,-116.75,-115.88,-114.06,-113.32,-114.37,-113.92,-108.18,-113.11,-111.85,-107.58,-111.78
-106.71,-107.48,-104.19,-108.21,-109.86,-110.28,-112.31,-113.15,-110.45,-112.94,-115.32,-116.05,-115.00,-116.23,-118.64,-116.51,-118.61,-116.44,-119.76,-116.89,-120.53,-118.57,-121.76,-121.09,-115.60,-117.73,-117.21,-117.87,-117.56,-118.54,-118.08,-122.18,-122.56,-122.25,-121.93,-118.05,-116.02,-119.13,-118.01,-122.49,-121.83,-124.10,-124.42,-126.31,-127.64,-127.22,-126.48,-131.17,-126.83,-130.02,-131.14,-128.06,-130.54,-127.81,-131.35,-131.52,-129.81,-128.76,-132.33,-132.82,-127.92,-130.16,-127.53,-130.23,-130.19,-130.23,-129.46,-132.43,-128.55,-130.30,-126.94,-128.44,-126.27,-130.79,-127.71,-124.31,-124.94,-124.45,-121.58,-118.57,-117.45,-112.90,-112.41,-107.76,-105.27,-101.84,-103.98,-102.58,-105.48,-104.89,-102.40,-106.74,-103.35,-109.33,-109.61,-114.51,-122.35,-128.72,-133.10,-134.85,-141.01,-142.02,-143.77,-140.38,-140.94,-138.87,-142.93,-140.24,-142.30,-143.46,-139.36,-142.48,-145.98,-143.14,-140.48,-140.13,-145.59,-145.77,-143.46,-144.44,-140.73,-142.93,-141.15,-143.84,-145.98,-142.41,-146.89,-145.07,-143.21,-146.85,-147.06,-146.96,-146.54,-145.52,-147.27,-139.75,-139.92,-137.58,-135.30,-133.34,-133.66,-132.47,-128.34,-131.87,-125.19,-121.41,-120.81,-117.66,-118.99,-118.85,-111.82,-117.70,-113.64,-110.80,-113.25,-112.80,-112.76,-110.21,-110.03,-108.49
-105.34,-106.88,-110.28,-109.12,-109.58,-114.16,-113.78,-116.26,-116.82,-114.97,-113.15,-116.19,-115.25,-115.32,-120.57,-116.51,-116.68,-117.45,-123.23,-122.21,-123.68,-120.60,-123.16,-120.57,-123.40,-120.18,-117.63,-121.44,-124.77,-122.88,-121.09,-125.08,-127.53,-130.16,-124.49,-125.75,-123.75,-124.66,-126.06,-126.94,-123.65,-127.18,-125.92,-127.99,-128.86,-131.10,-126.59,-131.14,-126.62,-126.59,-126.17,-123.68,-124.66,-126.34,-129.53,-128.23,-129.56,-127.88,-131.94,-132.47,-128.37,-131.28,-127.99,-127.81,-129.39,-125.99,-122.35,-129.00,-125.36,-120.53,-122.56,-118.75,-117.49,-119.48,-111.61,-111.96,-108.81,-105.55,-104.85,-106.57,-103.52,-103.45,-103.77,-104.47,-99.85,-100.86,-103.59,-102.93,-104.01,-101.04,-100.02,-103.52,-99.04,-104.15,-101.00,-104.47,-101.39,-114.69,-124.84,-130.65,-139.92,-143.00,-139.96,-143.07,-140.06,-136.07,-141.25,-143.18,-139.64,-144.40,-141.92,-140.80,-145.80,-138.07,-141.50,-140.03,-143.00,-144.40,-144.09,-144.75,-138.31,-146.22,-145.03,-146.08,-145.52,-146.33,-147.41,-149.27,-146.68,-145.07,-153.08,-147.34,-147.66,-142.69,-149.44,-146.40,-140.45,-138.52,-132.61,-132.64,-130.23,-129.46,-130.65,-130.44,-127.18,-122.28,-118.89,-118.19,-118.78,-118.92,-120.50,-116.23,-115.84,-115.25,-115.42,-108.74,-110.52,-108.56,-110.59,-105.94
-105.59,-105.76,-106.36,-109.09,-109.93,-110.14,-115.32,-114.44,-115.39,-116.23,-111.85,-119.90,-115.49,-118.71,-121.76,-119.52,-120.25,-119.45,-121.69,-121.86,-125.08,-125.08,-127.25,-122.25,-121.90,-118.96,-122.84,-123.19,-125.50,-123.96,-122.39,-124.84,-124.98,-125.92,-128.41,-127.95,-124.52,-121.09,-122.07,-125.68,-122.35,-127.36,-126.55,-129.56,-124.17,-126.17,-127.88,-124.31,-123.93,-124.45,-124.73,-122.81,-126.27,-125.05,-128.69,-124.80,-127.57,-125.22,-127.50,-128.72,-125.19,-125.64,-120.39,-120.74,-123.30,-123.09,-114.97,-115.00,-111.85,-107.90,-108.07,-105.17,-102.75,-105.48,-108.00,-106.71,-101.21,-101.18,-102.68,-100.69,-104.71,-100.27,-103.14,-103.70,-99.67,-100.37,-103.52,-101.88,-100.62,-101.67,-105.80,-102.23,-100.41,-105.87,-103.21,-105.13,-106.60,-106.39,-114.62,-128.86,-137.96,-143.21,-141.08,-141.11,-145.70,-140.24,-141.92,-142.20,-142.27,-142.79,-139.54,-142.97,-145.28,-141.71,-142.09,-137.82,-143.28,-144.93,-145.91,-147.24,-145.00,-147.31,-146.33,-148.22,-148.36,-146.12,-147.17,-149.48,-147.06,-147.66,-151.37,-145.63,-145.70,-144.51,-148.04,-147.62,-140.52,-147.24,-139.78,-137.26,-135.62,-132.47,-130.58,-129.28,-130.61,-124.94,-123.12,-121.20,-121.86,-120.29,-122.70,-118.57,-116.23,-117.35,-116.75,-115.21,-111.64,-111.71,-108.95,-112.69
-104.96,-108.35,-108.74,-108.67,-111.43,-107.69,-113.78,-111.78,-115.95,-117.84,-112.90,-116.12,-116.12,-119.97,-120.43,-120.71,-119.83,-120.50,-124.21,-121.76,-124.31,-126.24,-124.45,-124.31,-119.69,-119.55,-122.32,-125.26,-124.42,-124.00,-120.81,-123.19,-121.62,-124.87,-125.19,-124.21,-124.70,-121.86,-119.90,-122.91,-123.12,-122.11,-120.78,-119.55,-118.57,-120.57,-115.42,-113.01,-112.45,-114.23,-111.92,-105.94,-112.38,-112.17,-112.13,-117.14,-115.84,-115.63,-114.58,-111.50,-111.26,-108.56,-107.55,-106.81,-107.34,-103.77,-103.91,-104.96,-99.01,-101.63,-102.30,-100.23,-102.47,-103.42,-104.57,-102.86,-106.43,-102.75,-103.70,-102.26,-105.97,-102.26,-103.70,-103.77,-97.82,-100.20,-98.31,-100.79,-103.10,-101.84,-103.07,-101.25,-103.31,-102.02,-104.15,-103.52,-104.15,-102.68,-109.05,-129.77,-139.15,-137.93,-143.91,-139.78,-142.65,-141.71,-143.67,-146.01,-147.94,-141.74,-142.83,-148.74,-145.56,-144.19,-146.57,-144.65,-148.50,-147.48,-143.07,-142.02,-150.25,-146.29,-146.05,-148.01,-151.40,-144.96,-148.15,-153.68,-148.43,-148.32,-152.94,-151.05,-151.86,-149.41,-149.34,-148.18,-148.60,-146.75,-145.35,-140.66,-142.23,-131.56,-132.12,-135.48,-130.54,-127.74,-126.90,-121.58,-119.27,-123.09,-119.90,-119.48,-118.15,-115.46,-116.54,-111.71,-114.20,-112.76,-110.73,-113.11
-102.96,-107.48,-106.53,-108.49,-109.86,-110.70,-113.60,-112.97,-114.13,-116.75,-120.92,-118.82,-113.64,-117.94,-119.87,-118.99,-122.42,-121.55,-124.24,-120.43,-122.74,-119.90,-121.93,-122.04,-121.48,-115.07,-119.17,-117.63,-122.35,-119.66,-116.44,-116.54,-118.64,-117.38,-115.39,-114.51,-112.41,-112.80,-109.44,-113.64,-111.40,-109.12,-106.60,-105.17,-101.70,-99.22,-98.80,-103.45,-97.96,-97.33,-98.06,-96.03,-101.95,-96.77,-101.56,-102.12,-102.86,-99.71,-102.72,-98.87,-100.02,-101.77,-99.43,-102.93,-106.11,-99.78,-96.98,-102.12,-98.17,-98.90,-99.04,-98.94,-99.39,-101.42,-103.03,-100.02,-101.32,-104.78,-102.82,-103.80,-101.56,-100.72,-99.01,-104.47,-97.61,-102.93,-105.76,-98.34,-100.86,-104.64,-102.65,-102.75,-102.26,-103.38,-107.13,-109.16,-107.30,-107.83,-113.92,-133.24,-140.27,-140.52,-145.59,-143.35,-145.77,-142.72,-145.84,-143.46,-147.87,-144.51,-142.93,-147.06,-144.89,-146.71,-146.12,-143.07,-149.30,-148.36,-148.92,-145.84,-146.22,-147.27,-148.78,-149.41,-148.08,-148.64,-153.05,-151.47,-149.72,-148.08,-150.32,-146.50,-147.87,-144.54,-153.71,-149.20,-149.62,-147.27,-150.63,-152.07,-144.93,-139.54,-139.82,-134.53,-134.64,-129.14,-130.79,-124.77,-125.64,-122.91,-123.79,-120.32,-118.47,-119.34,-117.31,-116.02,-117.21,-114.02,-112.94,-112.27
